FlightDate,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,Origin,Dest,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
2025-11-26,AS,3000,OO,N405SY,3000,SJC,LAX,0851,0846,-5.00,1020,1013,-7.00,0.00,,0.00,89.00,87.00,308.00,,,,,,
2025-11-26,AS,3002,OO,N189SY,3002,GEG,PDX,1526,1527,1.00,1648,1644,-4.00,0.00,,0.00,82.00,77.00,279.00,,,,,,
2025-11-26,AS,3003,OO,N194SY,3003,SMF,PDX,1204,1239,35.00,1347,1413,26.00,0.00,,0.00,103.00,94.00,479.00,0.00,26.00,0.00,0.00,0.00,
2025-11-26,AS,3005,OO,N197SY,3005,SAN,MRY,2159,2159,0.00,2333,2328,-5.00,0.00,,0.00,94.00,89.00,375.00,,,,,,
2025-11-26,AS,3008,OO,N173SY,3008,PDX,SEA,2230,2228,-2.00,2332,2331,-1.00,0.00,,0.00,62.00,63.00,129.00,,,,,,
2025-11-26,AS,3009,OO,N400SY,3009,SEA,STS,1539,1529,-10.00,1750,1732,-18.00,0.00,,0.00,131.00,123.00,618.00,,,,,,
2025-11-26,AS,3010,OO,N187SY,3010,STS,SEA,2015,2011,-4.00,2224,2210,-14.00,0.00,,0.00,129.00,119.00,618.00,,,,,,
2025-11-26,AS,3012,OO,N170SY,3012,DEN,SAN,0600,0550,-10.00,0734,0725,-9.00,0.00,,0.00,154.00,155.00,853.00,,,,,,
2025-11-26,AS,3013,OO,N414SY,3013,SFO,LAX,2202,2158,-4.00,2336,2326,-10.00,0.00,,0.00,94.00,88.00,337.00,,,,,,
2025-11-26,AS,3014,OO,N407SY,3014,SJC,SAN,1759,1748,-11.00,1928,1910,-18.00,0.00,,0.00,89.00,82.00,417.00,,,,,,
2025-11-26,AS,3015,OO,N173SY,3015,SMF,SAN,1003,1001,-2.00,1147,1210,23.00,0.00,,0.00,104.00,129.00,480.00,23.00,0.00,0.00,0.00,0.00,
2025-11-26,AS,3016,OO,N170SY,3016,PSC,SEA,1751,1748,-3.00,1904,1848,-16.00,0.00,,0.00,73.00,60.00,172.00,,,,,,
2025-11-26,AS,3016,OO,N170SY,3016,SEA,PSC,1607,1604,-3.00,1714,1710,-4.00,0.00,,0.00,67.00,66.00,172.00,,,,,,
2025-11-26,AS,3017,OO,N413SY,3017,SAN,SLC,1715,1730,15.00,2020,2029,9.00,0.00,,0.00,125.00,119.00,626.00,,,,,,
2025-11-26,AS,3018,OO,N194SY,3018,SLC,SAN,0720,0715,-5.00,0841,0817,-24.00,0.00,,0.00,141.00,122.00,626.00,,,,,,
2025-11-26,AS,3019,OO,N197SY,3019,SLC,SAN,1040,1035,-5.00,1150,1133,-17.00,0.00,,0.00,130.00,118.00,626.00,,,,,,
2025-11-26,AS,3021,OO,N409SY,3021,SAN,DEN,2033,2018,-15.00,2359,2342,-17.00,0.00,,0.00,146.00,144.00,853.00,,,,,,
2025-11-26,AS,3022,OO,N189SY,3022,PDX,PSP,1732,1729,-3.00,2004,2012,8.00,0.00,,0.00,152.00,163.00,873.00,,,,,,
2025-11-26,AS,3023,OO,N410SY,3023,RDM,SEA,1838,1831,-7.00,1957,1947,-10.00,0.00,,0.00,79.00,76.00,228.00,,,,,,
2025-11-26,AS,3023,OO,N410SY,3023,SEA,RDM,1648,1643,-5.00,1758,1750,-8.00,0.00,,0.00,70.00,67.00,228.00,,,,,,
2025-11-26,AS,3024,OO,N188SY,3024,PDX,FAT,1845,1857,12.00,2040,2047,7.00,0.00,,0.00,115.00,110.00,626.00,,,,,,
2025-11-26,AS,3025,OO,N177SY,3025,BOI,SFO,0834,0824,-10.00,0938,0943,5.00,0.00,,0.00,124.00,139.00,522.00,,,,,,
2025-11-26,AS,3026,OO,N188SY,3026,SEA,IDA,1144,1143,-1.00,1437,1419,-18.00,0.00,,0.00,113.00,96.00,566.00,,,,,,
2025-11-26,AS,3027,OO,N188SY,3027,IDA,SEA,1514,1506,-8.00,1622,1636,14.00,0.00,,0.00,128.00,150.00,566.00,,,,,,
2025-11-26,AS,3028,OO,N410SY,3028,FCA,SEA,1411,1404,-7.00,1456,1457,1.00,0.00,,0.00,105.00,113.00,379.00,,,,,,
2025-11-26,AS,3029,OO,N186SY,3029,DEN,SAN,1220,1217,-3.00,1354,1336,-18.00,0.00,,0.00,154.00,139.00,853.00,,,,,,
2025-11-26,AS,3029,OO,N186SY,3029,SAN,DEN,0810,0809,-1.00,1140,1137,-3.00,0.00,,0.00,150.00,148.00,853.00,,,,,,
2025-11-26,AS,3030,OO,N430SY,3030,LAX,SJC,0922,0916,-6.00,1049,1039,-10.00,0.00,,0.00,87.00,83.00,308.00,,,,,,
2025-11-26,AS,3031,OO,N186SY,3031,EUG,SAN,1749,1739,-10.00,2019,2003,-16.00,0.00,,0.00,150.00,144.00,850.00,,,,,,
2025-11-26,AS,3031,OO,N186SY,3031,SAN,EUG,1434,1424,-10.00,1709,1638,-31.00,0.00,,0.00,155.00,134.00,850.00,,,,,,
2025-11-26,AS,3035,OO,N192SY,3035,GEG,SEA,1447,1442,-5.00,1606,1609,3.00,0.00,,0.00,79.00,87.00,224.00,,,,,,
2025-11-26,AS,3036,OO,N188SY,3036,PDX,SEA,0930,0922,-8.00,1034,1056,22.00,0.00,,0.00,64.00,94.00,129.00,22.00,0.00,0.00,0.00,0.00,
2025-11-26,AS,3038,OO,N191SY,3038,PDX,SEA,1035,1033,-2.00,1140,1131,-9.00,0.00,,0.00,65.00,58.00,129.00,,,,,,
2025-11-26,AS,3040,OO,N400SY,3040,SMF,SEA,1246,1241,-5.00,1454,1436,-18.00,0.00,,0.00,128.00,115.00,605.00,,,,,,
2025-11-26,AS,3041,OO,N193SY,3041,EUG,PDX,1556,1552,-4.00,1650,1636,-14.00,0.00,,0.00,54.00,44.00,105.00,,,,,,
2025-11-26,AS,3042,OO,N193SY,3042,PDX,EUG,1419,1419,0.00,1519,1510,-9.00,0.00,,0.00,60.00,51.00,105.00,,,,,,
2025-11-26,AS,3043,OO,N195SY,3043,SAN,SJC,1640,1645,5.00,1817,1818,1.00,0.00,,0.00,97.00,93.00,417.00,,,,,,
2025-11-26,AS,3044,OO,N400SY,3044,PDX,SMF,1032,1032,0.00,1208,1209,1.00,0.00,,0.00,96.00,97.00,479.00,,,,,,
2025-11-26,AS,3047,OO,N408SY,3047,STS,SAN,1943,1946,3.00,2129,2129,0.00,0.00,,0.00,106.00,103.00,508.00,,,,,,
2025-11-26,AS,3048,OO,N170SY,3048,PDX,SEA,1415,1411,-4.00,1525,1507,-18.00,0.00,,0.00,70.00,56.00,129.00,,,,,,
2025-11-26,AS,3049,OO,N173SY,3049,SEA,SMF,0725,0716,-9.00,0926,0916,-10.00,0.00,,0.00,121.00,120.00,605.00,,,,,,
2025-11-26,AS,3052,OO,N410SY,3052,GEG,PDX,0853,0913,20.00,1021,1033,12.00,0.00,,0.00,88.00,80.00,279.00,,,,,,
2025-11-26,AS,3052,OO,N410SY,3052,PDX,GEG,0700,0707,7.00,0813,0841,28.00,0.00,,0.00,73.00,94.00,279.00,7.00,0.00,21.00,0.00,0.00,
2025-11-26,AS,3053,OO,N173SY,3053,SMF,PDX,1935,1931,-4.00,2120,2115,-5.00,0.00,,0.00,105.00,104.00,479.00,,,,,,
2025-11-26,AS,3057,OO,N406SY,3057,LAX,MFR,1637,1633,-4.00,1847,1827,-20.00,0.00,,0.00,130.00,114.00,630.00,,,,,,
2025-11-26,AS,3058,OO,N406SY,3058,MFR,LAX,1924,1918,-6.00,2133,2121,-12.00,0.00,,0.00,129.00,123.00,630.00,,,,,,
2025-11-26,AS,3059,OO,N191SY,3059,SEA,HLN,1607,1619,12.00,1852,1852,0.00,0.00,,0.00,105.00,93.00,491.00,,,,,,
2025-11-26,AS,3060,OO,N191SY,3060,HLN,SEA,1932,1922,-10.00,2027,2021,-6.00,0.00,,0.00,115.00,119.00,491.00,,,,,,
2025-11-26,AS,3061,OO,N187SY,3061,PSP,STS,1745,1746,1.00,1935,1932,-3.00,0.00,,0.00,110.00,106.00,478.00,,,,,,
2025-11-26,AS,3062,OO,N187SY,3062,STS,PSP,1515,1530,15.00,1705,1708,3.00,0.00,,0.00,110.00,98.00,478.00,,,,,,
2025-11-26,AS,3063,OO,N174SY,3063,SFO,BUR,2037,2033,-4.00,2159,2159,0.00,0.00,,0.00,82.00,86.00,326.00,,,,,,
2025-11-26,AS,3076,OO,N173SY,3076,SAN,SMF,1710,1701,-9.00,1858,1840,-18.00,0.00,,0.00,108.00,99.00,480.00,,,,,,
2025-11-26,AS,3098,OO,N174SY,3098,BUR,SFO,0700,0655,-5.00,0849,0812,-37.00,0.00,,0.00,109.00,77.00,326.00,,,,,,
2025-11-26,AS,3099,OO,N414SY,3099,SFO,BUR,1746,1752,6.00,1908,1912,4.00,0.00,,0.00,82.00,80.00,326.00,,,,,,
2025-11-26,AS,3100,OO,N414SY,3100,BUR,SFO,1945,1943,-2.00,2122,2109,-13.00,0.00,,0.00,97.00,86.00,326.00,,,,,,
2025-11-26,AS,3101,OO,N411SY,3101,BUR,PSC,0830,0821,-9.00,1108,1058,-10.00,0.00,,0.00,158.00,157.00,833.00,,,,,,
2025-11-26,AS,3102,OO,N411SY,3102,PSC,BUR,1148,1138,-10.00,1436,1401,-35.00,0.00,,0.00,168.00,143.00,833.00,,,,,,
2025-11-26,AS,3204,OO,N192SY,3204,SEA,GEG,1253,1252,-1.00,1407,1404,-3.00,0.00,,0.00,74.00,72.00,224.00,,,,,,
2025-11-26,AS,3205,OO,N177SY,3205,STS,SNA,1614,1617,3.00,1755,1750,-5.00,0.00,,0.00,101.00,93.00,433.00,,,,,,
2025-11-26,AS,3207,OO,N178SY,3207,STS,BUR,1940,1933,-7.00,2109,2100,-9.00,0.00,,0.00,89.00,87.00,387.00,,,,,,
2025-11-26,AS,3208,OO,N189SY,3208,BOI,GEG,1429,1428,-1.00,1446,1447,1.00,0.00,,0.00,77.00,79.00,287.00,,,,,,
2025-11-26,AS,3209,OO,N406SY,3209,LAX,EUG,1030,1029,-1.00,1256,1238,-18.00,0.00,,0.00,146.00,129.00,748.00,,,,,,
2025-11-26,AS,3210,OO,N406SY,3210,EUG,LAX,1333,1326,-7.00,1555,1549,-6.00,0.00,,0.00,142.00,143.00,748.00,,,,,,
2025-11-26,AS,3214,OO,N409SY,3214,SAN,SBP,1404,1356,-8.00,1524,1459,-25.00,0.00,,0.00,80.00,63.00,263.00,,,,,,
2025-11-26,AS,3215,OO,N199SY,3215,GEG,SEA,1141,1155,14.00,1300,1310,10.00,0.00,,0.00,79.00,75.00,224.00,,,,,,
2025-11-26,AS,3215,OO,N199SY,3215,SEA,GEG,0950,0956,6.00,1101,1116,15.00,0.00,,0.00,71.00,80.00,224.00,0.00,6.00,9.00,0.00,0.00,
2025-11-26,AS,3216,OO,N404SY,3216,SFO,SNA,1419,1431,12.00,1556,1559,3.00,0.00,,0.00,97.00,88.00,372.00,,,,,,
2025-11-26,AS,3219,OO,N194SY,3219,GEG,BOI,1626,1634,8.00,1839,1848,9.00,0.00,,0.00,73.00,74.00,287.00,,,,,,
2025-11-26,AS,3223,OO,N178SY,3223,RDM,BUR,1400,1350,-10.00,1633,1608,-25.00,0.00,,0.00,153.00,138.00,709.00,,,,,,
2025-11-26,AS,3224,OO,N178SY,3224,BUR,RDM,1101,1054,-7.00,1320,1302,-18.00,0.00,,0.00,139.00,128.00,709.00,,,,,,
2025-11-26,AS,3248,OO,N179SY,3248,SNA,SFO,1038,1039,1.00,1216,1211,-5.00,0.00,,0.00,98.00,92.00,372.00,,,,,,
2025-11-26,AS,3250,OO,N183SY,3250,SFO,LAX,0908,0909,1.00,1050,1050,0.00,0.00,,0.00,102.00,101.00,337.00,,,,,,
2025-11-26,AS,3251,OO,N183SY,3251,SNA,SFO,0645,0637,-8.00,0828,0807,-21.00,0.00,,0.00,103.00,90.00,372.00,,,,,,
2025-11-26,AS,3257,OO,N185SY,3257,SFO,PSP,1951,1946,-5.00,2127,2116,-11.00,0.00,,0.00,96.00,90.00,421.00,,,,,,
2025-11-26,AS,3258,OO,N185SY,3258,PSP,SFO,1717,1709,-8.00,1900,1839,-21.00,0.00,,0.00,103.00,90.00,421.00,,,,,,
2025-11-26,AS,3259,OO,N411SY,3259,BUR,EUG,1515,1507,-8.00,1740,1705,-35.00,0.00,,0.00,145.00,118.00,732.00,,,,,,
